beta,gamma,rho,weight
0.14263322251307442,0.07742916498722674,0.26567862710995643,0.0026592088866018416
0.17085561275066125,0.08861622108307193,0.25917336886705317,0.0023894641493354494
0.1387010483681177,0.09478066485685228,0.19358623388848206,0.002665087784182956
0.18574736152290922,0.08085211986936708,0.4366538049632477,0.003231496211582612
0.19606710330077268,0.11465378552345538,0.2564178523301567,0.003960315388411693
0.17557384153235583,0.08085766959011431,0.37601065085387014,0.0026825258368992524
0.13839955851738792,0.05971305223505045,0.21796917313688377,0.0038896173809872454
0.16195092355577023,0.07779988014225388,0.34057606862584955,0.0026791091695664393
0.131372777440683,0.06264271275370657,0.2477953894813245,0.0036584687531255287
0.2054074633700575,0.0737129797369897,0.26998318278264194,0.003722452123532187
0.15985037847293473,0.07731342892067374,0.3801859043340289,0.0032261691076370673
0.14327601383033914,0.0871818208596768,0.2544885119838211,0.0025345130347245544
0.16761123840387074,0.08809858982635874,0.2601312606515689,0.0023689758337237595
0.11644358788424733,0.07879462136932897,0.1106398690744356,0.0035015207721018266
0.23402662384496722,0.08327886879962741,0.5097599947643948,0.003744429923801545
0.22176073703807667,0.07746331155350397,0.40521019175122275,0.0029272960465843755
0.2566939322856514,0.08761622304049847,0.3059963885435504,0.007883271820394068
0.13814230346388195,0.09568968039998867,0.15654548536016671,0.0028665576374164643
0.2471735854729109,0.08216337580559976,0.32732373839914813,0.005456147131671295
0.21519993232121226,0.08400201382310941,0.42436050966012656,0.0027999799385739444
0.22406220465105706,0.06948866178176674,0.44885429541357846,0.003362180835367675
0.13435695692736704,0.09705774731761437,0.20840272173797963,0.0027795663652381963
0.11282837857271046,0.10916907490920887,0.1675150257886769,0.004152676348610188
0.10107833736918337,0.07450710410263423,0.2009565486917472,0.004027596330522612
0.13315559436806812,0.11484522109214539,0.1424891472565354,0.004118926930561492
0.18833641309757526,0.09815308395647002,0.333919100945972,0.002595259772899131
0.215511241125093,0.06891542429822936,0.40448389134914303,0.0031510585970808873
0.2516580630000869,0.07622022324094062,0.551761950976792,0.004632706584324917
0.13414417976040627,0.0876083409900837,0.23231453359406817,0.002655493799110777
0.15401867596406837,0.09869295631988093,0.24930878813301283,0.002597505106165021
0.17530575898472722,0.09977470061863289,0.4416328006363657,0.004843610850362208
0.18852537340547,0.10554278624143489,0.39022287492072055,0.0034897322248284538
0.15692545102432695,0.0779814374290466,0.23833321054511708,0.0025329046099463784
0.17221986635076042,0.08253622471874193,0.30266876423319233,0.0023569458554865913
0.09971115119540191,0.07641537994655438,0.11609302684155984,0.0038603236734226064
0.17756912436765518,0.08820470076904638,0.3754632691690314,0.0026891815125610623
0.12845591811336235,0.08990472979130443,0.29497645192808747,0.0035352406425662084
0.19729914508279278,0.09852813380908322,0.2135154774013272,0.0037837033746697065
0.13543415068292225,0.06993742220487181,0.27335998709922693,0.00314205229488164
0.19009997468461248,0.08443741998210497,0.4093428734855459,0.002778486840612724
0.21888719867480222,0.0884787836739836,0.5143926824739895,0.00414742468865466
0.1792268009683623,0.0781999734411044,0.30547795577596326,0.002438738169384065
0.16925470886646246,0.0636521546895515,0.17251403838913987,0.005106764081542027
